@relation oil_prod_data_v1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6-unset-class-temporarily

@attribute Region {Anadarko,Appalachia,Bakken,'Eagle Ford',Haynesville,Niobrara,Permian}
@attribute 'Rig Count' numeric
@attribute ProdPerRig numeric
@attribute TotProd numeric
@attribute OilPrice {'\'(-inf-54.184]\'','\'(54.184-75.628]\'','\'(75.628-97.072]\'','\'(97.072-118.516]\'','\'(118.516-inf)\''}

@data
Appalachia,117,5.26,27000,'\'(54.184-75.628]\''
Appalachia,119,5.06,27000,'\'(75.628-97.072]\''
Appalachia,129,4.94,27000,'\'(75.628-97.072]\''
Appalachia,128,4.78,27000,'\'(75.628-97.072]\''
Appalachia,131,4.69,27000,'\'(75.628-97.072]\''
Appalachia,135,4.62,28000,'\'(75.628-97.072]\''
Appalachia,133,4.59,28000,'\'(97.072-118.516]\''
Appalachia,125,4.64,29000,'\'(97.072-118.516]\''
Appalachia,127,4.73,29000,'\'(97.072-118.516]\''
Appalachia,135,4.86,29000,'\'(97.072-118.516]\''
Appalachia,142,5.05,29000,'\'(75.628-97.072]\''
Appalachia,143,5.29,28000,'\'(75.628-97.072]\''
Appalachia,141,5.55,30000,'\'(75.628-97.072]\''
Appalachia,145,5.86,28000,'\'(75.628-97.072]\''
Appalachia,151,5.88,28000,'\'(75.628-97.072]\''
Appalachia,148,5.99,28000,'\'(97.072-118.516]\''
Appalachia,152,6.1,28000,'\'(97.072-118.516]\''
Appalachia,154,6.43,31000,'\'(97.072-118.516]\''
Appalachia,152,6.97,32000,'\'(97.072-118.516]\''
Appalachia,138,7.8,32000,'\'(97.072-118.516]\''
Appalachia,133,8.42,32000,'\'(97.072-118.516]\''
Appalachia,131,10.38,32000,'\'(75.628-97.072]\''
Appalachia,126,11.87,32000,'\'(75.628-97.072]\''
Appalachia,122,13.26,33000,'\'(75.628-97.072]\''
Appalachia,115,14.83,34000,'\'(75.628-97.072]\''
Appalachia,109,16.29,33000,'\'(75.628-97.072]\''
Appalachia,115,17.71,34000,'\'(75.628-97.072]\''
Appalachia,120,19.25,36000,'\'(75.628-97.072]\''
Appalachia,123,21.1,36000,'\'(75.628-97.072]\''
Appalachia,125,23.52,39000,'\'(97.072-118.516]\''
Appalachia,119,26.26,40000,'\'(75.628-97.072]\''
